#1.3									
1170	6	3	2						
100ng/ml FGF-1 (184B5)	184B5	FGF-1	100ng/ml	9432.144687	5246.175219	4526.589789	31758.81958	13047.80981	13320.85291
1ng/ml FGF-1 (HCC1187)	HCC1187	FGF-1	1ng/ml	27804.185	34170.60688	50164.15998	9443.057197	8487.097605	15244.2307
100ng/ml FGF-1 (HCC1187)	HCC1187	FGF-1	100ng/ml	62144.56488	55558.6112	43207.90493	25726.96156	17199.66977	10087.37707
1ng/ml FGF-1 (HCC1500)	HCC1500	FGF-1	1ng/ml	1925.269924	1921.60165	1244.241173	7091.106377	3077.164256	9776.772707
100ng/ml FGF-1 (HCC1500)	HCC1500	FGF-1	100ng/ml	1244.241173	1244.241173	1244.241173	16301.30242	8138.032957	3077.164256
1ng/ml FGF-1 (MCF 10A)	MCF 10A	FGF-1	1ng/ml	5381.756446	3873.456518	4073.243603	11061.57063	5556.590161	4590.611535
100ng/ml FGF-1 (MCF 10A)	MCF 10A	FGF-1	100ng/ml	5244.910126	3645.75905	4460.144179	15541.41848	3989.052875	3575.236274
1ng/ml FGF-1 (MCF 10F)	MCF 10F	FGF-1	1ng/ml	2120.158428	3054.151727	3075.031169	407.4253875	739.2394519	407.4253875
100ng/ml FGF-1 (MCF 10F)	MCF 10F	FGF-1	100ng/ml	2814.348223	2058.036917	2330.710038	5338.61268	407.4253875	407.4253875
1ng/ml FGF-1 (MCF12A)	MCF12A	FGF-1	1ng/ml	2281.013196	2758.474892	2106.475353	13455.80199	14668.12861	16432.55489
100ng/ml FGF-1 (MCF12A)	MCF12A	FGF-1	100ng/ml	1710.688417	2001.584822	1065.403425	19487.58577	12380.84019	11143.52644
1ng/ml FGF-2 (MCF7)	MCF7	FGF-2	1ng/ml	1482.016863	1832.670584	2382.017168	25742.27716	14217.57802	17829.42963
100ng/ml FGF-2 (MCF7)	MCF7	FGF-2	100ng/ml	889.1092723	889.1092723	2402.580943	27887.18488	18529.20572	17396.06505
1ng/ml FGF-2 (SK-BR-3)	SK-BR-3	FGF-2	1ng/ml	12510.34129	12153.74575	10464.32057	9564.355682	7915.896371	7014.291994
100ng/ml FGF-2 (SK-BR-3)	SK-BR-3	FGF-2	100ng/ml	11344.39261	10891.76549	10881.97967	18474.16066	6922.639652	7193.938186
1ng/ml FGF-2 (MDA-MB-231)	MDA-MB-231	FGF-2	1ng/ml	547.0725358	547.0725358	547.0725358	1465.108124	31.58511031	31.58511031
100ng/ml FGF-2 (MDA-MB-231)	MDA-MB-231	FGF-2	100ng/ml	547.0725358	547.0725358	1639.078531	2662.575787	1753.163773	836.0489931
1ng/ml FGF-2 (AU565)	AU565	FGF-2	1ng/ml	7084.309218	8952.442679	9622.116711	15035.80054	10751.75914	9769.24555
100ng/ml FGF-2 (AU565)	AU565	FGF-2	100ng/ml	6769.914644	10654.99802	9119.946128	19251.95219	11419.09874	9678.306413
1ng/ml FGF-2 (BT-20)	BT-20	FGF-2	1ng/ml	7791.001434	7933.64563	7602.267014	1709.778138	816.8670804	187.1952197
100ng/ml FGF-2 (BT-20)	BT-20	FGF-2	100ng/ml	8933.500702	7525.786399	7668.76702	4446.256021	1177.317035	923.6633944
1ng/ml FGF-2 (BT-474)	BT-474	FGF-2	1ng/ml	19617.35694	19472.43693	21510.13092	14603.70492	11866.14044	15845.67119
100ng/ml FGF-2 (BT-474)	BT-474	FGF-2	100ng/ml	21743.28327	21732.98486	20100.08342	25769.55192	18748.73762	15471.67419
1ng/ml FGF-2 (BT-483)	BT-483	FGF-2	1ng/ml	3642.172289	3181.496154	3969.637177	14477.70268	4981.807918	6965.030495
100ng/ml FGF-2 (BT-483)	BT-483	FGF-2	100ng/ml	3716.178537	4156.847466	3206.607239	22321.80096	11159.43135	9292.592904
1ng/ml FGF-2 (BT-549)	BT-549	FGF-2	1ng/ml	10164.05508	9471.501857	10246.23402	6467.353818	5987.189394	7233.45707
100ng/ml FGF-2 (BT-549)	BT-549	FGF-2	100ng/ml	11040.04343	8982.635004	9877.798444	13447.72329	7404.456589	5008.319385
1ng/ml FGF-2 (CAMA-1)	CAMA-1	FGF-2	1ng/ml	7279.767201	6412.8827	7268.418424	2962.150033	2524.535261	15616.33885
100ng/ml FGF-2 (CAMA-1)	CAMA-1	FGF-2	100ng/ml	7570.458039	7606.612003	10049.59856	24998.41669	22232.73063	17322.96356
1ng/ml FGF-2 (HCC1395)	HCC1395	FGF-2	1ng/ml	13558.38362	13320.43468	15241.58085	7015.285185	6617.549703	5479.589478
100ng/ml FGF-2 (HCC1395)	HCC1395	FGF-2	100ng/ml	13284.55655	14294.14173	16615.84168	10879.34793	5962.340687	3450.05033
1ng/ml FGF-2 (HCC1419)	HCC1419	FGF-2	1ng/ml	34273.86542	30952.64148	26479.4219	24277.5731	24813.49911	21578.92997
100ng/ml FGF-2 (HCC1419)	HCC1419	FGF-2	100ng/ml	31411.17105	29247.93398	25282.21238	31072.77517	26876.74866	26110.23024
1ng/ml FGF-2 (HCC1428)	HCC1428	FGF-2	1ng/ml	1040.118819	1040.118819	1040.118819	13658.20555	6648.677436	10362.40555
100ng/ml FGF-2 (HCC1428)	HCC1428	FGF-2	100ng/ml	1040.118819	1040.118819	1040.118819	35420.92731	11196.60382	11083.27951
1ng/ml FGF-2 (HCC1569)	HCC1569	FGF-2	1ng/ml	22285.30901	26586.7194	23986.37292	14628.57166	12369.67185	14292.66571
100ng/ml FGF-2 (HCC1569)	HCC1569	FGF-2	100ng/ml	29078.75728	28597.43788	26849.77698	26105.183	17141.67056	14951.28983
1ng/ml FGF-2 (HCC1806)	HCC1806	FGF-2	1ng/ml	8133.238296	7936.602264	12352.86278	10359.53343	14255.09013	18594.371
100ng/ml FGF-2 (HCC1806)	HCC1806	FGF-2	100ng/ml	10543.94326	12490.90391	12681.33733	31905.5027	28538.66099	22346.93671
1ng/ml FGF-2 (HCC1937)	HCC1937	FGF-2	1ng/ml	2787.086575	2322.698684	2984.126476	1749.605718	1106.883686	1257.540467
100ng/ml FGF-2 (HCC1937)	HCC1937	FGF-2	100ng/ml	3185.006734	2775.36856	3149.458806	14337.25369	3106.973589	2671.503601
1ng/ml FGF-2 (HCC1954)	HCC1954	FGF-2	1ng/ml	4327.507749	1371.748793	4698.099724	21973.6638	12516.84952	13907.23686
100ng/ml FGF-2 (HCC1954)	HCC1954	FGF-2	100ng/ml	3883.524228	3278.321588	5796.045331	28096.55448	14949.12427	13300.86955
1ng/ml FGF-2 (HCC202)	HCC202	FGF-2	1ng/ml	69575.74313	67007.35053	63117.89736	5920.946888	4972.648555	3951.789223
100ng/ml FGF-2 (HCC202)	HCC202	FGF-2	100ng/ml	68641.28603	64729.90284	65189.63946	9105.452228	5780.895652	4928.352976
1ng/ml FGF-2 (HCC38)	HCC38	FGF-2	1ng/ml	4185.103983	5006.508279	4816.537951	25762.70149	16637.74173	22628.05
100ng/ml FGF-2 (HCC38)	HCC38	FGF-2	100ng/ml	4500.359874	4668.856441	3926.628405	38157.11658	20398.70975	16728.4985
1ng/ml FGF-2 (HCC70)	HCC70	FGF-2	1ng/ml	10084.496	11284.90323	10290.4677	389.867648	613.7670283	389.867648
100ng/ml FGF-2 (HCC70)	HCC70	FGF-2	100ng/ml	10836.15448	10635.71221	10069.46283	389.867648	389.867648	389.867648
1ng/ml FGF-2 (Hs 578T)	Hs 578T	FGF-2	1ng/ml	7297.526485	8592.890481	11429.09291	22815.24957	25838.50333	30486.76416
100ng/ml FGF-2 (Hs 578T)	Hs 578T	FGF-2	100ng/ml	22711.37614	12851.64046	7900.745188	59346.88362	34109.11802	23672.17366
1ng/ml FGF-2 (MDA-MB-134-VI)	MDA-MB-134-VI	FGF-2	1ng/ml	842.221377	842.221377	842.221377	4186.454127	3828.999253	5316.329906
100ng/ml FGF-2 (MDA-MB-134-VI)	MDA-MB-134-VI	FGF-2	100ng/ml	842.221377	842.221377	842.221377	12323.65432	9524.399042	7488.827286
1ng/ml FGF-2 (MDA-MB-157)	MDA-MB-157	FGF-2	1ng/ml	1069.931871	1069.931871	1069.931871	10635.68699	9352.22858	8036.085196
100ng/ml FGF-2 (MDA-MB-157)	MDA-MB-157	FGF-2	100ng/ml	1069.931871	1069.931871	1069.931871	18961.39966	10033.73158	7014.488639
1ng/ml FGF-2 (MDA-MB-175-VII)	MDA-MB-175-VII	FGF-2	1ng/ml	12490.52442	13776.99469	13099.94401	26448.6363	23103.88202	23316.66882
100ng/ml FGF-2 (MDA-MB-175-VII)	MDA-MB-175-VII	FGF-2	100ng/ml	12416.44724	14288.24351	13852.86833	26185.07912	24204.48026	25249.41177
1ng/ml FGF-2 (MDA-MB-361)	MDA-MB-361	FGF-2	1ng/ml	2192.568738	1668.518117	2055.576675	3081.203672	1434.212773	2891.660934
100ng/ml FGF-2 (MDA-MB-361)	MDA-MB-361	FGF-2	100ng/ml	2478.359017	2010.591168	1688.975327	6271.037165	3517.029337	2545.596632
1ng/ml FGF-2 (MDA-MB-415)	MDA-MB-415	FGF-2	1ng/ml	35480.15027	38906.79131	39556.13541	978.1392038	1106.360624	2780.999065
100ng/ml FGF-2 (MDA-MB-415)	MDA-MB-415	FGF-2	100ng/ml	41483.84112	40405.9279	39998.99352	12352.63745	7043.873259	6236.710494
1ng/ml FGF-2 (MDA-MB-436)	MDA-MB-436	FGF-2	1ng/ml	6237.923853	4460.893488	5385.080484	12512.11718	9911.691114	12310.72826
100ng/ml FGF-2 (MDA-MB-436)	MDA-MB-436	FGF-2	100ng/ml	7295.777646	9554.069984	6591.669341	17612.6139	23207.85715	10893.68966
1ng/ml FGF-2 (MDA-MB-453)	MDA-MB-453	FGF-2	1ng/ml	6532.099598	6273.568378	6337.722795	2450.01693	1721.89493	1672.934267
100ng/ml FGF-2 (MDA-MB-453)	MDA-MB-453	FGF-2	100ng/ml	8340.307437	10273.50057	9887.063369	11290.22539	11109.23977	8233.790748
1ng/ml FGF-2 (MDA-MB-468)	MDA-MB-468	FGF-2	1ng/ml	24929.44861	23650.56509	23386.18691	7865.473683	5553.724221	5126.373678
100ng/ml FGF-2 (MDA-MB-468)	MDA-MB-468	FGF-2	100ng/ml	27649.43841	23855.08021	23296.69877	14153.67315	5792.290176	5522.483873
1ng/ml FGF-2 (T47D)	T47D	FGF-2	1ng/ml	8127.13645	5693.254662	7223.624794	11627.32199	5814.868251	8773.394845
100ng/ml FGF-2 (T47D)	T47D	FGF-2	100ng/ml	8443.761648	6852.983354	7788.904755	29257.23021	13669.17263	10525.28339
1ng/ml FGF-2 (UACC-812)	UACC-812	FGF-2	1ng/ml	3423.187985	4114.387253	2948.706545	25556.98648	27822.77041	23025.6266
100ng/ml FGF-2 (UACC-812)	UACC-812	FGF-2	100ng/ml	3807.91859	3195.865027	3278.64397	27246.31817	25112.75481	26315.7749
1ng/ml FGF-2 (UACC-893)	UACC-893	FGF-2	1ng/ml	29216.14736	32640.92246	31017.5519	2073.098393	2073.098393	2073.098393
100ng/ml FGF-2 (UACC-893)	UACC-893	FGF-2	100ng/ml	23399.83584	23907.7406	20198.0042	2073.098393	2073.098393	2073.098393
1ng/ml FGF-2 (ZR-75-1)	ZR-75-1	FGF-2	1ng/ml	4971.755765	4614.307151	5303.859611	17387.94429	11999.24858	28148.92187
100ng/ml FGF-2 (ZR-75-1)	ZR-75-1	FGF-2	100ng/ml	13224.53634	6486.906732	5769.970272	54337.64267	33959.27668	23835.60988
1ng/ml FGF-2 (ZR-75-30)	ZR-75-30	FGF-2	1ng/ml	6543.013182	7677.387813	7725.171485	16676.42804	18909.99265	16952.42294
100ng/ml FGF-2 (ZR-75-30)	ZR-75-30	FGF-2	100ng/ml	5805.535585	7311.452648	9918.954017	17030.10611	16944.15755	20674.68383
1ng/ml FGF-2 (184B5)	184B5	FGF-2	1ng/ml	5310.513498	4488.767162	5526.142285	10152.48494	7965.636206	8449.879711
100ng/ml FGF-2 (184B5)	184B5	FGF-2	100ng/ml	5437.358645	5135.016509	5379.629372	11889.29976	12248.16848	9941.857723
1ng/ml FGF-2 (HCC1187)	HCC1187	FGF-2	1ng/ml	23725.51545	32550.89064	54293.55575	9624.759525	8006.70652	15533.54654
100ng/ml FGF-2 (HCC1187)	HCC1187	FGF-2	100ng/ml	64849.54033	65518.70366	58750.98105	26445.37025	22640.47217	18835.65188
1ng/ml FGF-2 (HCC1500)	HCC1500	FGF-2	1ng/ml	1907.899568	1244.241173	1244.241173	7495.040245	3077.164256	10238.68133
100ng/ml FGF-2 (HCC1500)	HCC1500	FGF-2	100ng/ml	1244.241173	1930.124992	1244.241173	18848.31329	11981.40438	10363.61377
1ng/ml FGF-2 (MCF 10A)	MCF 10A	FGF-2	1ng/ml	3292.749654	3492.679139	2684.559606	5409.445689	4525.576989	2594.882966
100ng/ml FGF-2 (MCF 10A)	MCF 10A	FGF-2	100ng/ml	3782.178171	2501.860511	3338.887227	7003.16232	2469.213398	2673.290322
1ng/ml FGF-2 (MCF 10F)	MCF 10F	FGF-2	1ng/ml	2504.257487	1777.094709	3293.95523	3586.458542	407.4253875	407.4253875
100ng/ml FGF-2 (MCF 10F)	MCF 10F	FGF-2	100ng/ml	2921.742982	1839.21622	2326.472131	4078.723153	407.4253875	407.4253875
1ng/ml FGF-2 (MCF12A)	MCF12A	FGF-2	1ng/ml	2623.56236	2124.096962	2322.409992	8526.060141	9946.913379	11121.3729
100ng/ml FGF-2 (MCF12A)	MCF12A	FGF-2	100ng/ml	3145.777349	1953.102088	2411.63687	17863.4867	14379.52082	15117.57496
1ng/ml HGF (MCF7)	MCF7	HGF	1ng/ml	2213.520106	1353.178512	2184.66787	248.7780028	248.7780028	248.7780028
100ng/ml HGF (MCF7)	MCF7	HGF	100ng/ml	1500.27246	2108.812717	2600.769579	4277.869686	1408.012588	248.7780028
1ng/ml HGF (SK-BR-3)	SK-BR-3	HGF	1ng/ml	10625.98243	10761.80971	10574.18279	3504.203521	2173.008132	4773.109527
100ng/ml HGF (SK-BR-3)	SK-BR-3	HGF	100ng/ml	12369.03395	12337.7193	9658.098894	23976.6746	6856.121622	4853.738881
1ng/ml HGF (MDA-MB-231)	MDA-MB-231	HGF	1ng/ml	1594.03447	547.0725358	547.0725358	1610.315651	1607.123514	31.58511031
100ng/ml HGF (MDA-MB-231)	MDA-MB-231	HGF	100ng/ml	7582.797796	2885.851223	3471.788612	15611.96445	13554.94456	8613.135136
1ng/ml HGF (AU565)	AU565	HGF	1ng/ml	8534.87323	7554.995042	10227.23566	12676.78104	10432.90917	9286.930332
100ng/ml HGF (AU565)	AU565	HGF	100ng/ml	15609.77042	15024.35776	15321.31114	40834.59781	22351.96338	21520.23125
1ng/ml HGF (BT-20)	BT-20	HGF	1ng/ml	6935.921249	8184.730814	9077.714881	554.9500292	1782.33088	1336.999175
100ng/ml HGF (BT-20)	BT-20	HGF	100ng/ml	18210.41982	17582.09008	17194.64063	27642.24354	24111.81721	17328.15236
1ng/ml HGF (BT-474)	BT-474	HGF	1ng/ml	19149.19667	18526.09633	22975.65996	9972.846417	8753.253706	9899.021476
100ng/ml HGF (BT-474)	BT-474	HGF	100ng/ml	25777.10649	21101.16334	22307.46927	20960.87432	13305.68782	11892.76264
1ng/ml HGF (BT-483)	BT-483	HGF	1ng/ml	3178.229671	1656.624664	2264.226987	1734.103633	281.9715551	281.9715551
100ng/ml HGF (BT-483)	BT-483	HGF	100ng/ml	1934.275691	1036.160565	2517.685627	281.9715551	281.9715551	281.9715551
1ng/ml HGF (BT-549)	BT-549	HGF	1ng/ml	12109.44579	12497.44778	12906.19017	2840.631503	3184.298053	3464.360882
100ng/ml HGF (BT-549)	BT-549	HGF	100ng/ml	34419.26666	31790.51895	29626.47356	24980.8408	24018.68563	14803.3719
1ng/ml HGF (CAMA-1)	CAMA-1	HGF	1ng/ml	5558.400791	3925.392722	4777.848064	70.21348513	70.21348513	70.21348513
100ng/ml HGF (CAMA-1)	CAMA-1	HGF	100ng/ml	4307.68441	3743.406963	4808.165513	70.21348513	70.21348513	70.21348513
1ng/ml HGF (HCC1395)	HCC1395	HGF	1ng/ml	10779.62182	10659.68633	12120.18282	2294.37206	2294.37206	2294.37206
100ng/ml HGF (HCC1395)	HCC1395	HGF	100ng/ml	18153.86058	21027.69945	16972.57288	10294.36321	2294.37206	2294.37206
1ng/ml HGF (HCC1419)	HCC1419	HGF	1ng/ml	18903.29917	18346.3535	25433.99046	24037.17754	24175.29572	26443.44347
100ng/ml HGF (HCC1419)	HCC1419	HGF	100ng/ml	22618.34729	19132.16454	27185.50951	28330.92328	27982.47459	25230.13272
1ng/ml HGF (HCC1428)	HCC1428	HGF	1ng/ml	1040.118819	1040.118819	1679.276292	103.8606935	103.8606935	103.8606935
100ng/ml HGF (HCC1428)	HCC1428	HGF	100ng/ml	1040.118819	1040.118819	1703.015772	103.8606935	103.8606935	379.156317
1ng/ml HGF (HCC1569)	HCC1569	HGF	1ng/ml	16621.15227	16704.71358	19928.12828	5313.353428	5676.240157	6348.657288
100ng/ml HGF (HCC1569)	HCC1569	HGF	100ng/ml	36147.32353	34474.60938	57001.54791	31652.96677	23263.05873	18698.84708
1ng/ml HGF (HCC1806)	HCC1806	HGF	1ng/ml	7286.119713	6991.033695	7739.702291	6172.33176	6553.214804	7384.261419
100ng/ml HGF (HCC1806)	HCC1806	HGF	100ng/ml	23457.25581	29377.84795	31732.59742	52334.44338	53665.29624	43699.03925
1ng/ml HGF (HCC1937)	HCC1937	HGF	1ng/ml	1973.226117	1722.305252	2833.564753	1550.23964	1555.401938	1156.986949
100ng/ml HGF (HCC1937)	HCC1937	HGF	100ng/ml	14984.7525	12393.98799	14973.92072	42667.41094	29732.62212	20090.11311
1ng/ml HGF (HCC1954)	HCC1954	HGF	1ng/ml	4197.785415	2918.430443	5582.634425	13238.10408	9213.050771	11188.71158
100ng/ml HGF (HCC1954)	HCC1954	HGF	100ng/ml	4387.876586	3519.595034	5034.469231	22533.23116	15694.31099	12113.583
1ng/ml HGF (HCC202)	HCC202	HGF	1ng/ml	39220.02778	51958.09606	53152.63727	4966.890784	5562.820078	5654.519123
100ng/ml HGF (HCC202)	HCC202	HGF	100ng/ml	55051.12227	57419.46544	54929.26676	40035.96877	39091.1709	20882.61285
1ng/ml HGF (HCC38)	HCC38	HGF	1ng/ml	2708.420622	3444.456837	3957.455768	1370.15936	2393.034711	1811.216532
100ng/ml HGF (HCC38)	HCC38	HGF	100ng/ml	13845.79339	8425.183739	6572.511947	34214.36422	11878.53942	3162.459016
1ng/ml HGF (HCC70)	HCC70	HGF	1ng/ml	11673.17371	15595.10302	16800.00292	389.867648	389.867648	629.0372862
100ng/ml HGF (HCC70)	HCC70	HGF	100ng/ml	43397.13578	56481.52274	59613.95145	21381.12776	9553.080479	6899.171294
1ng/ml HGF (Hs 578T)	Hs 578T	HGF	1ng/ml	4878.352706	5064.264859	4602.217118	4172.704662	5261.585657	5558.133281
100ng/ml HGF (Hs 578T)	Hs 578T	HGF	100ng/ml	45005.92071	52384.04873	31940.10356	40933.44716	39170.94423	15880.29246
1ng/ml HGF (MDA-MB-134-VI)	MDA-MB-134-VI	HGF	1ng/ml	842.221377	842.221377	842.221377	1407.067431	1174.988074	1172.474579
100ng/ml HGF (MDA-MB-134-VI)	MDA-MB-134-VI	HGF	100ng/ml	842.221377	842.221377	842.221377	1210.775453	1033.693756	2221.260227
1ng/ml HGF (MDA-MB-157)	MDA-MB-157	HGF	1ng/ml	1069.931871	1069.931871	1069.931871	252.4573021	252.4573021	252.4573021
100ng/ml HGF (MDA-MB-157)	MDA-MB-157	HGF	100ng/ml	1069.931871	1069.931871	1069.931871	2255.725738	577.6398343	252.4573021
1ng/ml HGF (MDA-MB-175-VII)	MDA-MB-175-VII	HGF	1ng/ml	12805.43172	13176.66303	14097.18566	24011.89087	25479.53977	25078.59361
100ng/ml HGF (MDA-MB-175-VII)	MDA-MB-175-VII	HGF	100ng/ml	12822.12814	16112.80369	15207.60373	23567.51883	24968.86312	26100.76297
1ng/ml HGF (MDA-MB-361)	MDA-MB-361	HGF	1ng/ml	2116.642973	1567.351615	751.2088921	166.1702235	166.1702235	166.1702235
100ng/ml HGF (MDA-MB-361)	MDA-MB-361	HGF	100ng/ml	1567.249838	751.2088921	1604.296726	166.1702235	166.1702235	166.1702235
1ng/ml HGF (MDA-MB-415)	MDA-MB-415	HGF	1ng/ml	23075.69561	29711.72465	32530.8823	43.43729105	43.43729105	43.43729105
100ng/ml HGF (MDA-MB-415)	MDA-MB-415	HGF	100ng/ml	29641.99035	35984.99443	32790.80107	3456.38085	1384.386766	463.4667623
1ng/ml HGF (MDA-MB-436)	MDA-MB-436	HGF	1ng/ml	4569.344003	2972.415296	4650.630636	2360.487221	4067.775259	3768.065136
100ng/ml HGF (MDA-MB-436)	MDA-MB-436	HGF	100ng/ml	7423.806656	8313.551901	15769.26854	16295.96641	20249.90596	19489.99554
1ng/ml HGF (MDA-MB-453)	MDA-MB-453	HGF	1ng/ml	5650.958327	5630.815653	6186.451313	1460.546285	1418.190133	2052.714192
100ng/ml HGF (MDA-MB-453)	MDA-MB-453	HGF	100ng/ml	5844.630137	5578.343987	7565.217344	1635.673707	1830.503382	3003.74822
1ng/ml HGF (MDA-MB-468)	MDA-MB-468	HGF	1ng/ml	17519.50417	22732.39232	27085.0298	7434.96645	6688.899047	4906.421309
100ng/ml HGF (MDA-MB-468)	MDA-MB-468	HGF	100ng/ml	50685.58433	56449.80519	63945.86663	48789.05953	41602.79984	20600.97705
1ng/ml HGF (T47D)	T47D	HGF	1ng/ml	6061.375344	5831.17613	6118.992667	1362.420435	1258.612484	1576.642297
100ng/ml HGF (T47D)	T47D	HGF	100ng/ml	5838.288269	5841.889352	6731.986974	2795.33546	1961.401443	1933.059741
1ng/ml HGF (UACC-812)	UACC-812	HGF	1ng/ml	3250.952793	4204.530871	4126.367123	24874.26092	26346.16937	27651.32226
100ng/ml HGF (UACC-812)	UACC-812	HGF	100ng/ml	3360.539153	4267.670682	3978.189869	25700.24843	26406.34491	27183.75033
1ng/ml HGF (UACC-893)	UACC-893	HGF	1ng/ml	24694.19104	26018.48588	26635.13573	2073.098393	2073.098393	2073.098393
100ng/ml HGF (UACC-893)	UACC-893	HGF	100ng/ml	25432.95188	25787.41595	28120.03541	3169.639663	2073.098393	2073.098393
1ng/ml HGF (ZR-75-1)	ZR-75-1	HGF	1ng/ml	4366.394544	2742.144549	4292.108157	1129.587369	147.9685542	639.8619018
100ng/ml HGF (ZR-75-1)	ZR-75-1	HGF	100ng/ml	6656.600145	4041.428017	3635.037784	6062.590791	1270.35678	618.57957
1ng/ml HGF (ZR-75-30)	ZR-75-30	HGF	1ng/ml	6560.566368	5936.818787	7068.024093	15977.53959	16031.61147	17605.62051
100ng/ml HGF (ZR-75-30)	ZR-75-30	HGF	100ng/ml	8452.409724	6848.487373	7839.754782	21151.27356	17087.55929	17557.35753
1ng/ml HGF (184B5)	184B5	HGF	1ng/ml	4927.987394	5697.896825	4692.133455	11976.24156	13243.29311	9781.066677
100ng/ml HGF (184B5)	184B5	HGF	100ng/ml	36577.00608	27328.69698	24089.32833	46444.11024	51674.97785	32668.60126
1ng/ml HGF (HCC1187)	HCC1187	HGF	1ng/ml	14678.49488	15151.65774	17344.15751	248.3144238	248.3144238	248.3144238
100ng/ml HGF (HCC1187)	HCC1187	HGF	100ng/ml	18623.30358	15872.81544	16429.25385	3960.56282	2371.173046	1502.447683
1ng/ml HGF (HCC1500)	HCC1500	HGF	1ng/ml	1244.241173	1244.241173	2638.450016	3077.164256	3077.164256	3077.164256
100ng/ml HGF (HCC1500)	HCC1500	HGF	100ng/ml	1244.241173	1244.241173	2927.704202	3077.164256	3077.164256	3077.164256
1ng/ml HGF (MCF 10A)	MCF 10A	HGF	1ng/ml	4494.03536	2372.418986	4108.985982	3364.102688	2296.630095	2435.541794
100ng/ml HGF (MCF 10A)	MCF 10A	HGF	100ng/ml	32256.60811	18540.79044	9517.192456	22716.51919	17935.84845	9179.794083
1ng/ml HGF (MCF 10F)	MCF 10F	HGF	1ng/ml	2613.202699	2154.165045	1762.520445	407.4253875	407.4253875	407.4253875
100ng/ml HGF (MCF 10F)	MCF 10F	HGF	100ng/ml	13973.17011	9249.764646	6473.418917	28760.85312	20666.01967	17621.79808
1ng/ml HGF (MCF12A)	MCF12A	HGF	1ng/ml	2131.555844	1065.123717	1225.676156	6428.94439	7545.540676	10024.06436
100ng/ml HGF (MCF12A)	MCF12A	HGF	100ng/ml	4645.105904	3258.126762	2103.118856	24253.65548	23754.10607	21893.62746
1ng/ml HRG (MCF7)	MCF7	HRG	1ng/ml	6219.049875	8011.875395	13007.71884	42413.50645	41424.06612	20176.47811
100ng/ml HRG (MCF7)	MCF7	HRG	100ng/ml	45916.9995	47213.2518	17808.31133	84643.53989	84276.91538	17882.03973
1ng/ml HRG (SK-BR-3)	SK-BR-3	HRG	1ng/ml	38471.61857	50741.61046	53391.35147	32072.96408	35651.34899	24863.5975
100ng/ml HRG (SK-BR-3)	SK-BR-3	HRG	100ng/ml	60432.1888	58207.54412	56590.2731	41439.13026	36059.48462	23706.80145
1ng/ml HRG (MDA-MB-231)	MDA-MB-231	HRG	1ng/ml	3021.816748	2475.422341	1665.862571	1018.868219	1084.515206	369.9970213
100ng/ml HRG (MDA-MB-231)	MDA-MB-231	HRG	100ng/ml	11547.03044	5419.718762	2453.605523	10791.94198	3535.208835	1246.273268
1ng/ml HRG (AU565)	AU565	HRG	1ng/ml	20985.96293	33276.45771	35399.98014	27270.85665	30541.71817	27729.29455
100ng/ml HRG (AU565)	AU565	HRG	100ng/ml	42136.81256	58667.44367	41876.4404	43491.76918	43440.8022	26300.26517
1ng/ml HRG (BT-20)	BT-20	HRG	1ng/ml	15038.49287	17427.67101	17200.69628	8824.640466	10370.16261	8439.598602
100ng/ml HRG (BT-20)	BT-20	HRG	100ng/ml	19097.7968	20425.5541	19616.67628	22477.05023	16385.92527	13689.80588
1ng/ml HRG (BT-474)	BT-474	HRG	1ng/ml	35979.12209	50649.44259	74308.42159	27325.4496	27124.36043	32840.02461
100ng/ml HRG (BT-474)	BT-474	HRG	100ng/ml	86971.85055	106298.6307	102126.4748	50809.10893	47445.08486	34537.95929
1ng/ml HRG (BT-483)	BT-483	HRG	1ng/ml	5207.838267	5521.318527	9383.21975	22309.52889	22901.23514	27581.46557
100ng/ml HRG (BT-483)	BT-483	HRG	100ng/ml	12904.386	18321.43921	16192.40705	49571.08907	44655.8044	35973.35534
1ng/ml HRG (BT-549)	BT-549	HRG	1ng/ml	9570.018752	9725.963071	9603.770816	2789.057699	1599.286961	1649.987306
100ng/ml HRG (BT-549)	BT-549	HRG	100ng/ml	10950.23359	11215.3585	10891.33869	2169.179482	1731.457241	1751.785022
1ng/ml HRG (CAMA-1)	CAMA-1	HRG	1ng/ml	8537.779225	12283.36229	12097.72871	19853.82034	18271.8843	34726.98578
100ng/ml HRG (CAMA-1)	CAMA-1	HRG	100ng/ml	13615.22243	16568.74186	11763.66933	48364.64304	39557.61009	44913.86657
1ng/ml HRG (HCC1395)	HCC1395	HRG	1ng/ml	13280.96873	10643.92557	10242.21856	2294.37206	2294.37206	2294.37206
100ng/ml HRG (HCC1395)	HCC1395	HRG	100ng/ml	13028.79667	12409.51438	11088.68635	2294.37206	2294.37206	2294.37206
1ng/ml HRG (HCC1419)	HCC1419	HRG	1ng/ml	51353.85228	55664.42966	54205.8423	36039.16018	43746.86635	52422.77344
100ng/ml HRG (HCC1419)	HCC1419	HRG	100ng/ml	95496.82956	96114.64623	66498.74849	60581.26812	54586.83304	53609.73434
1ng/ml HRG (HCC1428)	HCC1428	HRG	1ng/ml	1040.118819	1040.118819	1040.118819	12999.26011	14018.78882	12899.32926
